name,municipality,kind,weight,note
Montreal West,Montréal-Ouest,municipality,1,demerged 2006
Dorval,Dorval,municipality,1,demerged 2006
Pointe-Claire,Pointe-Claire,municipality,1,demerged 2006
Kirkland,Kirkland,municipality,1,demerged 2006
Beaconsfield,Beaconsfield,municipality,1,demerged 2006
Baie-D'Urfé,Baie-D'Urfé,municipality,1,demerged 2006
Sainte-Anne-de-Bellevue,Sainte-Anne-de-Bellevue,municipality,1,demerged 2006
Senneville,Senneville,municipality,1,demerged 2006
Dollard-Des Ormeaux,Dollard-Des Ormeaux,municipality,1,demerged 2006
DDO,Dollard-Des Ormeaux,municipality,1,demerged 2006
Laval,Laval,municipality,1,
Longueuil,Longueuil,municipality,1,
#
# --- Québec: the city, its six arrondissements, the towns merged into it, and its quartiers
Québec,Québec,city,1,
Quebec City,Québec,city,1,
Québec City,Québec,city,1,
City of Quebec,Québec,city,1,
La Cité-Limoilou,Québec,arrondissement,1,
Les Rivières,Québec,arrondissement,1,
Sainte-Foy–Sillery–Cap-Rouge,Québec,arrondissement,1,
La Haute-Saint-Charles,Québec,arrondissement,1,
Charlesbourg,Québec,former_municipality,1,merged 2002; now an arrondissement
Beauport,Québec,former_municipality,1,merged 2002; now an arrondissement
Sainte-Foy,Québec,former_municipality,1,merged 2002
Sillery,Québec,former_municipality,1,merged 2002
Cap-Rouge,Québec,former_municipality,1,merged 2002
Val-Bélair,Québec,former_municipality,1,merged 2002
Loretteville,Québec,former_municipality,1,merged 2002
Saint-Émile,Québec,former_municipality,1,merged 2002
Lac-Saint-Charles,Québec,former_municipality,1,merged 2002
Vanier,Québec,former_municipality,1,merged 2002
Duberger,Québec,former_municipality,1,annexed 1970
Les Saules,Québec,former_municipality,1,annexed 1969
Neufchâtel,Québec,former_municipality,1,annexed 1971
Charlesbourg-Ouest,Québec,former_municipality,1,merged into Charlesbourg 1976
Orsainville,Québec,former_municipality,1,merged into Charlesbourg 1976
Notre-Dame-des-Laurentides,Québec,former_municipality,1,merged into Charlesbourg 1976
Giffard,Québec,former_municipality,1,merged into Beauport 1976
Courville,Québec,former_municipality,1,merged into Beauport 1976
Montmorency,Québec,former_municipality,1,merged into Beauport 1976
Bélair,Québec,former_municipality,1,merged into Val-Bélair 1973
Vieux-Québec,Québec,quartier,1,La Cité-Limoilou
Old Quebec,Québec,quartier,1,La Cité-Limoilou
Haute-Ville,Québec,quartier,1,La Cité-Limoilou
Basse-Ville,Québec,quartier,1,La Cité-Limoilou
Cap-Blanc,Québec,quartier,1,La Cité-Limoilou
Colline Parlementaire,Québec,quartier,1,La Cité-Limoilou
Montcalm,Québec,quartier,0.7,La Cité-Limoilou
Montcalm,Montcalm,municipality,0.3,Laurentides
Saint-Jean-Baptiste,Québec,quartier,0.6,La Cité-Limoilou
Saint-Jean-Baptiste,Saint-Jean-Baptiste,municipality,0.4,Montérégie
Saint-Sacrement,Québec,quartier,1,La Cité-Limoilou
Saint-Roch,Québec,quartier,1,La Cité-Limoilou
Saint-Sauveur,Québec,quartier,0.4,La Cité-Limoilou
Saint-Sauveur,Saint-Sauveur,municipality,0.6,Laurentides
Limoilou,Québec,quartier,1,La Cité-Limoilou
Vieux-Limoilou,Québec,quartier,1,La Cité-Limoilou
Lairet,Québec,quartier,1,La Cité-Limoilou
Maizerets,Québec,quartier,1,La Cité-Limoilou
Lebourgneuf,Québec,quartier,1,Les Rivières
Neufchâtel-Est,Québec,quartier,1,Les Rivières
Des Châtels,Québec,quartier,1,La Haute-Saint-Charles
Duberger–Les Saules,Québec,quartier,1,Les Rivières
Pointe-de-Sainte-Foy,Québec,quartier,1,Sainte-Foy–Sillery–Cap-Rouge
Cité-Universitaire,Québec,quartier,1,Sainte-Foy–Sillery–Cap-Rouge
Chutes-Montmorency,Québec,quartier,1,Beauport
Vieux-Moulin,Québec,quartier,1,Beauport
Sainte-Thérèse-de-Lisieux,Québec,quartier,1,Beauport
Saint-Rodrigue,Québec,quartier,1,Charlesbourg
Jésuites,Québec,quartier,1,Charlesbourg
Vieux-Bourg,Québec,quartier,1,Charlesbourg
L'Ancienne-Lorette,L'Ancienne-Lorette,municipality,1,demerged 2006
Saint-Augustin-de-Desmaures,Saint-Augustin-de-Desmaures,municipality,1,demerged 2006
Lévis,Lévis,municipality,1,
Wendake,Wendake,municipality,1,
#
# --- Saguenay: the city, its three arrondissements, and the towns merged into it
Saguenay,Saguenay,city,1,
Ville de Saguenay,Saguenay,city,1,
Chicoutimi,Saguenay,arrondissement,1,merged 2002
Jonquière,Saguenay,arrondissement,1,merged 2002
La Baie,Saguenay,arrondissement,1,merged 2002
Laterrière,Saguenay,former_municipality,1,merged 2002
Shipshaw,Saguenay,former_municipality,1,merged 2002
Lac-Kénogami,Saguenay,former_municipality,1,merged 2002
Canton Tremblay,Saguenay,former_municipality,1,merged 2002
Kénogami,Saguenay,former_municipality,1,merged into Jonquière 1975
Arvida,Saguenay,former_municipality,1,merged into Jonquière 1975
Port-Alfred,Saguenay,former_municipality,1,merged into La Baie 1976
Bagotville,Saguenay,former_municipality,1,merged into La Baie 1976
Grande-Baie,Saguenay,former_municipality,1,merged into La Baie 1976
Chicoutimi-Nord,Saguenay,former_municipality,1,merged into Chicoutimi 1976
Rivière-du-Moulin,Saguenay,quartier,1,Chicoutimi
Saint-Jean-Eudes,Saguenay,quartier,1,Jonquière
Saint-Honoré,Saint-Honoré,municipality,1,
Larouche,Larouche,municipality,1,
Saint-Fulgence,Saint-Fulgence,municipality,1,
Alma,Alma,municipality,1,
